"id","parent_id:id","code","name","user_type_id:id","reconcile","chart_template_id:id"
"bms_account_53050101","bms_account_53030000","53050101","B. Umum - Listrik dan Air","account.data_account_type_direct_costs","0","l10n_id_bms"
"bms_account_53060001","bms_account_53030000","53060001","B. Umum - Fotocopy, Cetakan & Jilid","account.data_account_type_direct_costs","0","l10n_id_bms"
"bms_account_53070001","bms_account_53030000","53070001","B. Umum - Konsultasi","account.data_account_type_direct_costs","0","l10n_id_bms"
"bms_account_53070002","bms_account_53030000","53070002","B. Umum - Pajak Daerah","account.data_account_type_direct_costs","0","l10n_id_bms"
"bms_account_53070003","bms_account_53030000","53070003","B. Umum - Klaim Mutu CPO","account.data_account_type_direct_costs","0","l10n_id_bms"
"bms_account_53070004","bms_account_53030000","53070004","B. Umum - Pengangkutan & Pemusnahan Limbah B3","account.data_account_type_direct_costs","0","l10n_id_bms"
"bms_account_53070101","bms_account_53030000","53070101","Klaim Mutu CPO","account.data_account_type_direct_costs","0","l10n_id_bms"
"bms_account_53080001","bms_account_53030000","53080001","B. Umum - B. Penyusutan Kendaraan","account.data_account_type_direct_costs","0","l10n_id_bms"
"bms_account_53080101","bms_account_53030000","53080101","B. Umum - B. Penyusutan INV Kantor","account.data_account_type_direct_costs","0","l10n_id_bms"
"bms_account_53090001","bms_account_53030000","53090001","B. Umum - B. Penyusutan INV Mess","account.data_account_type_direct_costs","0","l10n_id_bms"
"bms_account_53090002","bms_account_53030000","53090002","B. Umum - B. Pemeliharaan Bangunan","account.data_account_type_direct_costs","0","l10n_id_bms"
"bms_account_53090003","bms_account_53030000","53090003","B. Umum - B. Pemeliharaan INV Kantor","account.data_account_type_direct_costs","0","l10n_id_bms"
"bms_account_53090004","bms_account_53030000","53090004","B. Umum - B. Pemeliharaan Kendaraan","account.data_account_type_direct_costs","0","l10n_id_bms"
"bms_account_53090101","bms_account_53030000","53090101","B. Umum - Koran dan Majalah","account.data_account_type_direct_costs","0","l10n_id_bms"
"bms_account_53100001","bms_account_53030000","53100001","B. Umum - Rumah tangga kantor","account.data_account_type_direct_costs","0","l10n_id_bms"
